Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"1100-1","Town","Special",2001,"Sky Pirates",2,108,,17,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,47.9900,34.2500,"",""
"1195-1","Space","Life On Mars",2001,"Alien Encounter",2,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.8400,7.8000,"",""
"1201-2","Duplo","",2001,"Chicken Run",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.0000,,"",""
"1202-1","Racers","Xalax",2001,"Single Racers Figure Pack",1,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1237-1","Technic","Licensed",2001,"Honda Asimo",,56,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.5800,40.0000,"",""
"1238-1","Duplo","",2001,"Medium Bucket",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1239-1","Racers","Xalax",2001,"Subzero",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.3700,3.7500,"",""
"1351-1","Studios","Stunts",2001,"Movie Backdrop Studio",3,211,,60,,,,,48,28.8,6,,"",0,0,0,,0,0,,,,,,,,,62.5100,42.5000,"01/01/2001","31/12/2001"
"1352-1","Studios","Stunts",2001,"Explosion Studio",4,232,24.99,35,,,5702012012433,,,,,,"",0,0,0,,0,0,,,,,,,,,59.9900,29.9500,"",""
"1353-1","Studios","Stunts",2001,"Car Stunt Studio",2,166,14.99,20,,,5702012012440,,,,,,"",0,0,0,,0,0,,,,,,,,,17.8500,17.4800,"",""
"1354-1","Studios","Adventurers",2001,"Dino Head Attack",2,94,,10,,,5702012010774,,,,,,"",0,0,0,,0,0,,,,,,,,,14.6000,7.4600,"",""
"1355-1","Studios","Adventurers",2001,"Temple of Gloom",2,58,,7,,,,042884013554,,,,,"",0,0,0,,0,0,,,,,,,,,24.3700,8.2300,"",""
"1356-1","Studios","Stunts",2001,"Stuntman Catapult",2,29,2.99,4,,,5702012010798,042884013561,9.6,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,19.6900,3.5000,"01/01/2001","31/12/2002"
"1357-1","Studios","",2001,"Cameraman",1,21,1.99,2,,,5702012010804,042884013578,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,16.9000,3.3500,"01/01/2001","31/12/2002"
"1360-1","Studios","",2001,"Director's Copter",1,22,,3,,,5702012015144,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,10.0000,4.8500,"15/02/2001","31/12/2001"
"1361-1","Studios","",2001,"Camera Car",1,20,,3,,,5702012015151,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,6.5500,2.8700,"15/02/2001","31/12/2001"
"1362-1","Studios","Stunts",2001,"Air Boat",1,24,,3,,,5702012015168,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,6.0400,3.1000,"15/02/2001","31/12/2001"
"1363-1","Studios","Stunts",2001,"Stunt Go-Cart",1,25,,3,,,,673419281928,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,4.5300,2.1900,"15/02/2001","31/12/2001"
"1370-1","Studios","Jurassic Park III",2001,"Raptor Rumble",3,157,14.99,20,,,,,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,80.0000,29.3200,"01/05/2001","31/12/2002"
"1371-1","Studios","Jurassic Park III",2001,"Spinosaurus Attack",2,155,24.99,35,,,,,28.8,28.8,4.8,,"",0,0,0,,0,0,,,,,,,,,215.3500,84.8600,"01/05/2001","31/12/2002"
"1388-1","Bionicle","Matoran",2001,"Huki",,8,,2,,,5702014366640,042884013882,,,,,"",0,0,0,,0,0,,,,,,,,,27.5200,19.7900,"",""
"1389-1","Bionicle","Matoran",2001,"Onepu",,8,,2,,,,042884013899,,,,,"",0,0,0,,0,0,,,,,,,,,46.7800,29.9200,"",""
"1390-1","Bionicle","Matoran",2001,"Maku",,8,,2,,,,042884013905,,,,,"",0,0,0,,0,0,,,,,,,,,37.7500,27.3400,"",""
"1391-1","Bionicle","Matoran",2001,"Jala",,8,,2,,,,042884013912,,,,,"",0,0,0,,0,0,,,,,,,,,50.2000,32.3500,"",""
"1392-1","Bionicle","Matoran",2001,"Kongu",,8,,2,,,,042884013929,,,,,"",0,0,0,,0,0,,,,,,,,,39.9700,29.4500,"",""
"1393-1","Bionicle","Matoran",2001,"Matoro",,8,,2,,,5702014366657,042884013936,,,,,"",0,0,0,,0,0,,,,,,,,,31.3100,23.5700,"",""
"1403-1","Duplo","",2001,"Racing Leopard",1,2,2.99,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,5.3900,"",""
"1404-1","Duplo","",2001,"Racing Tiger",1,2,2.99,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.5700,6.1300,"",""
"1405-1","Duplo","",2001,"Racing Lion",1,2,2.99,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3500,6.1300,"",""
"1406-1","Duplo","",2001,"Nursing the Baby",1,5,2.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.4000,5.0500,"",""
"1407-1","Duplo","",2001,"Cooking with Mummy",1,6,2.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.9900,,"",""
"1408-1","Duplo","",2001,"Walking the dog with Daddy",1,4,2.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.2700,2.6900,"",""
"1411-1","Studios","Promotional",2001,"Pirates Treasure Hunt",4,31,,0,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.9600,11.0000,"",""
"1413-1","Space","Life On Mars",2001,"Rover",1,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,59.2600,14.0000,"",""
"1414-1","Space","Life On Mars",2001,"Double Hover",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.9900,,"",""
"1415-1","Space","Life On Mars",2001,"Jet Scooter",1,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.9900,11.5000,"",""
"1416-1","Space","Life On Mars",2001,"Worker Robot",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.2600,6.0300,"",""
"1417-1","Bionicle","Promotional",2001,"Vakama",,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,80.0000,38.1900,"",""
"1418-1","Bionicle","Promotional",2001,"Matau",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,60.5300,20.0000,"",""
"1419-1","Bionicle","Promotional",2001,"Nokama",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.9900,35.3800,"",""
"1420-1","Bionicle","Promotional",2001,"Nuju",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0000,14.4000,"",""
"1421-1","Studios","Promotional",2001,"Director's Copter",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.0000,6.0000,"",""
"1422-1","Studios","Promotional",2001,"Camera Cart",1,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2200,,"",""
"1423-1","Studios","Promotional",2001,"Air Boat",1,24,,,,,,,10.16,13.6525,3.4925,,"",0,0,0,,0,0,,,,,,,,,5.2200,,"",""
"1424-1","Studios","Promotional",2001,"Stunt Go-Kart",1,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.5900,,"",""
"1452-1","Baby","",2001,"Flower",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1453-1","Baby","",2001,"Butterfly",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1454-1","Baby","",2001,"Stack-n-Learn",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3800,,"",""
"1456-1","Baby","",2001,"Squirt Frog",,1,3.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1457-1","Baby","",2001,"Caterpillar",,3,6.99,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.6400,9.6900,"",""
