,Number,Theme,Subtheme,Year,Set name,Pieces,RRP (USD),Value new (USD),Value used (USD),CPI Mean
0,10-2,Basic,Basic,1976,"Basic Building Set, 3+",152.0,27.5,78.41,18.71,204.53076923076924
1,555-1,LEGOLAND,LEGOLAND,1976,Hospital,202.0,150.0,38.12,157.5,204.53076923076924
2,697-1,LEGOLAND,LEGOLAND,1976,Stage Coach,95.0,50.0,83.61,14.69,204.53076923076924
3,1011-1,Dacta,Dacta,1976,LEGO Number/Symbol Blocks,100.0,320.0,38.12,20.0,204.53076923076924
4,1017-1,Dacta,Dacta,1976,Letter Bricks for Wall Board,150.0,480.0,38.12,20.0,204.53076923076924
5,1045-2,Dacta,Dacta,1976,Educational LEGO Building Set,683.0,385.0,38.12,20.0,204.53076923076924
6,246-2,Basic,Seasonal,1977,Santa and Sleigh,1.0,15.0,143.25,17.38,208.0230769230769
7,404-1,Universal Building Set,Universal Building Set,1977,"Building Set, 6+",467.0,400.0,38.12,125.0,208.0230769230769
8,533-2,Duplo,Duplo,1977,Racer,4.0,11.0,38.12,1.0,208.0230769230769
9,1121-1,Service Packs,Service Packs,1977,"Propellers, Wheels and Rotor Unit",15.0,130.0,7.04,20.0,208.0230769230769
10,7-1,Basic,Basic,1978,"Basic Building Set, 3+",64.0,35.0,38.12,20.0,212.3692307692307
11,8-1,Basic,Basic,1978,"Basic Building Set, 3+",93.0,55.0,38.12,20.0,212.3692307692307
12,205-2,Basic,Basic,1978,People Set,120.0,290.0,84.81,38.37,212.3692307692307
13,487-1,Space,Classic,1978,Space Cruiser,170.0,100.0,900.0,185.99,212.3692307692307
14,626-2,Town,Classic,1978,Red Cross Helicopter,37.0,55.0,38.12,7.77,212.3692307692307
15,745-1,Basic,Supplementaries,1978,"Baseplate, Green",1.0,42.5,29.99,5.78,212.3692307692307
16,948-1,Technic,Technic,1978,Go-Kart,206.0,220.0,349.99,46.98,212.3692307692307
17,970-1,Basic,Supplementaries,1978,Lighting Bricks,17.0,87.5,60.0,16.44,212.3692307692307
18,1610-2,LEGOLAND,LEGOLAND,1978,Airliner,23.0,20.0,38.12,8.76,212.3692307692307
19,0011-2,Town,Accessories,1979,Town Minifigures,3.0,44.900000000000006,38.12,5.01,219.22307692307692
20,341-2,Fabuland,Fabuland,1979,Catherine Cat's House and Mortimer Mouse,123.0,30.0,38.12,54.85,219.22307692307692
21,454-1,Space,Classic,1979,Two Lunar Landing Plates,2.0,50.0,80.0,41.2,219.22307692307692
22,497-1,Space,Classic,1979,Galaxy Explorer,338.0,320.0,2500.0,234.44,219.22307692307692
23,1072-1,Dacta,Dacta,1979,Supplementary LEGO Set,304.0,163.0,38.12,20.0,219.22307692307692
24,1083-2,Dacta,Dacta,1979,50 x 50 LEGO Gray Baseplate,1.0,100.0,38.12,20.0,219.22307692307692
25,1091-1,Dacta,Dacta,1979,Lego Educational Storage Cloth,1.0,100.0,38.12,20.0,219.22307692307692
26,722-1,Basic,Basic,1980,"Universal Building Set, 7+",301.0,200.0,198.79,47.15,228.3769230769231
27,733-1,Basic,Basic,1980,"Universal Building Set, 7+",533.0,390.0,279.75,78.14,228.3769230769231
28,744-1,Basic,Basic,1980,"Universal Building Set with Motor, 7+",537.0,590.0,684.18,88.15,228.3769230769231
29,820-1,Basic,Supplementaries,1980,Red Plates Parts Pack,34.0,47.5,17.06,20.0,228.3769230769231
30,822-1,Basic,Supplementaries,1980,Blue Plates Parts Pack,34.0,47.5,17.06,5.15,228.3769230769231
31,830-1,Basic,Supplementaries,1980,Red Bricks Parts Pack,46.0,47.5,17.06,4.29,228.3769230769231
32,831-1,Basic,Supplementaries,1980,Black Bricks Parts Pack,46.0,47.5,30.07,20.0,228.3769230769231
33,832-1,Basic,Supplementaries,1980,Blue Bricks Parts Pack,46.0,47.5,18.0,20.0,228.3769230769231
34,833-1,Basic,Supplementaries,1980,White Bricks Parts Pack,46.0,47.5,12.12,4.29,228.3769230769231
35,834-1,Basic,Supplementaries,1980,Yellow Bricks Parts Pack,46.0,47.5,30.0,20.0,228.3769230769231
36,836-1,Basic,Supplementaries,1980,Doors and Windows Parts Pack,37.0,47.5,20.0,7.88,228.3769230769231
37,837-1,Basic,Supplementaries,1980,Wheels and Tyres Parts Pack,28.0,47.5,11.86,1.59,228.3769230769231
38,838-1,Basic,Supplementaries,1980,"Red Roof Bricks Parts Pack, 45°",58.0,47.5,28.31,23.12,228.3769230769231
39,839-1,Basic,Supplementaries,1980,"Red Roof Bricks Parts Pack, 33°",42.0,47.5,27.6,3.88,228.3769230769231
40,1041-2,Dacta,Dacta,1980,Educational Duplo Building Set,68.0,365.0,38.12,20.0,228.3769230769231
41,1075-1,Dacta,Dacta,1980,LEGO People Supplementary Set,304.0,145.0,38.12,20.0,228.3769230769231
42,1076-2,Dacta,Dacta,1980,LEGO Car and Truck Supplementary Set,110.0,145.0,38.12,20.0,228.3769230769231
43,1101-1,Service Packs,Service Packs,1980,Replacement 4.5V Motor,1.0,56.5,16.04,5.94,228.3769230769231
44,1123-1,Service Packs,Service Packs,1980,Ball and Socket Couplings & One Articulated Joint,8.0,160.0,5.67,8.99,228.3769230769231
45,1130-1,Service Packs,Service Packs,1980,Plastic Folder for Building Instructions,1.0,140.0,38.12,8.71,228.3769230769231
46,2630-1,Duplo,Duplo,1980,Family Room,9.0,132.5,38.12,20.0,228.3769230769231
47,2650-1,Duplo,Duplo,1980,Farm,60.0,147.5,38.12,85.42,228.3769230769231
48,5233-1,Homemaker,Homemaker,1980,Bedroom,26.0,45.0,3.65,85.0,228.3769230769231
49,6000-1,Books,LEGO,1980,LEGOLAND Idea Book,110.0,20.0,38.12,20.0,228.3769230769231
50,6305-1,Town,Accessories,1980,Trees and Flowers,12.0,37.5,49.99,7.72,228.3769230769231
51,6306-1,Town,Accessories,1980,Road Signs,12.0,25.0,31.5,12.9,228.3769230769231
52,6375-2,Town,Shops and Services,1980,Exxon Gas Station,267.0,200.0,38.12,165.68,228.3769230769231
53,6390-1,Town,Shops and Services,1980,Main Street,591.0,400.0,38.12,299.58,228.3769230769231
54,6861-1,Space,Classic,1980,X1 Patrol Craft,55.0,40.0,325.0,36.8,228.3769230769231
55,6970-1,Space,Classic,1980,Beta I Command Base,254.0,370.0,1000.0,163.12,228.3769230769231
56,8857-2,Technic,Technic,1980,Motorcycles,377.0,495.0,38.12,100.0,228.3769230769231
57,8858-2,Technic,Technic,1980,Auto Engines,242.0,690.0,38.12,147.86,228.3769230769231
58,8860-1,Technic,Technic,1980,Car Chassis,668.0,590.0,879.73,88.87,228.3769230769231
59,KCP03-1,Gear,Key Chains/Promotional,1980,WWF Female Minifigure Key Chain,110.0,0.0,38.12,20.0,228.3769230769231
60,226-2,Books,LEGO,1981,Building Ideas Book,110.0,24.0,38.12,20.0,236.3153846153846
61,322-1,Basic,Basic,1981,Basic Set,53.0,60.0,37.34,27.96,236.3153846153846
62,333-1,Basic,Basic,1981,Basic Set,98.0,100.0,14.85,21.46,236.3153846153846
63,355-2,Basic,Basic,1981,Universal Building Set,181.0,185.0,56.19,5.46,236.3153846153846
64,544-1,Basic,Basic,1981,"Basic Building Set, 5+",141.0,95.0,38.12,17.84,236.3153846153846
65,566-1,Basic,Basic,1981,"Basic Building Set, 5+",288.0,260.0,218.36,21.38,236.3153846153846
66,577-1,Basic,Basic,1981,"Basic Building Set, 5+",384.0,380.0,180.61,59.91,236.3153846153846
67,6075-2,Castle,Classic,1981,Castle,767.0,480.0,38.12,475.0,236.3153846153846
68,6077-1,Castle,Classic,1981,Knight's Procession,48.0,50.0,361.0,65.58,236.3153846153846
69,6083-1,Castle,Classic,1981,Knight's Joust,211.0,160.0,750.0,450.0,236.3153846153846
70,6382-1,Town,Fire,1981,Fire Station,390.0,250.0,636.32,70.37,236.3153846153846
